mus मुस
chhedane	छेड़ने
pyare	प्यारे
nyota	न्यौता
pyara	प्यार
rajnitik	राजनीतिक
bimaa	बीमा
mahue	महुए
itaraaun	इतराऊँ
mahua	महुआ
tumhaaraa	तुम्हारे
paiso	पैसों
bekaaboo	बेकाबू
mainne	मैंने
becheiniyon	बेचैनियों
paise	पैसे
baawan	बावन
paisa	पैसा
giraayegi	गिराएगी
chumanasaaz	चमनसाज़
nauhaagaraan	नौहागराँ
viyakul	व्याकुल
batien	बातें
ashru	अश्रु
banjaara	बंजारा
games	गेम्स**
banjaare	बंजारे
janjati	जनजाति
pairo	पैरों
savaali	सवाली
sandehaaspad	संदेहास्पद
khareede	खरीदे
cheerata	चीरता
haqeekat	हक़ीकत
puhaar	फुहार
bharun	भरूँ
jhilamilaae	झिलमिलाए
antim	अंतिम
bharta	भरता
parja	परजा
aazaadiyon	आज़ादियों
bharti	भारती
battiyaan	बत्तियाँ
padukon	पादुकोण
bharte	भरते
paris	पैरिस
bichhaaya	बिछाया
bichhaaye	बिछाए
dhadaknon	धड़क्नों
parii	परी
badnasibi	बद्नसीबी
bhaajpaayii	भाजापाई
bahatii	बहती
frachise	फ्रेंचाइज़
haalatein	हालतें
itaraati	इतराती
chumbak	चुम्बक
ghutana	घुटना
chumban	चुम्बन
mahakati	महकती
degree	डिग्री
badhanaa	बढ़ाना
kiyakya	किया
badnaam	बदनाम
mahakata	महकता
itaraate	इतराते
ajaab	अजाब
ghutane	घुटने
turki	तुर्की
muskaayenge	मुस्कायेंगे
mahakate	महकते
itaraata	इतराता
tareekein	तरीकें
saanvariya	सांवरिया
virakshiyon	विरक्षियों
tatashtha	तटस्थ
ajaan	अजान
bujhein	बुझें
itaraaye	इतराए
itaraayi	इतराइये
ghabrana	घबराना
bandishen	बंदिशें
salakhoon	सलाखों
khulataa	खुलता
pyala	प्याला
chakkii	चक्की
jaaduugar	जादूगर
alabeli	अलबेली
urayi	उडाई
alabele	अलबेले
alabela	अलबेला
dastanen	दास्तानें
samjhaaoon	समझाऊँ
sawalon	सवालों
pyale	प्याले
zaamaane	ज़ामाने
sikhsha	शिक्षा
laalimaa	लालिमा
paina	पैना
allhadpan	अल्हड़पन
musaaphira	मुसाफिर
voum	वौं
voun	वौं
behtar	बेहतर
bujhegi	बुझेगी
haasil	हासिल
mundiyaan	मुंडीयाँ
dishaoo	दिशाऊ
vitarat	वितरत
bekadara	बेकदरा
mahakaye	महकाया
anajaanaa	अन्जाना
paree	परी
buzdil	बुज़्दिल
parem	प्रेम
praNaali	प्राणाली
mantrii	मंत्री
udungi	उड़ूँगी
bujhega	बुझेगा
koshishein	कोशिशें
university	यूनिवर्सिटी**
suljhaayaa	सुलझाया
dilabari	दिलबरी
rangeen	रंगीन
lapakata	लपकता
dilabara	दिलबर
apanon	अपनों
uthhaate	उठाते
jayapur	जयपुर
lengi	लेंगी
lenge	लेंगे
machegii	मचेगी
paradesiyon	परदेसियों
sawaalon	सवालों
deed	दीद
mahatwapuurn	महत्वपूर्ण
batalaauun	बतलाऊँ
lenga	लेना
deem	दीम
gyaan	ज्ञां
deen	दीं
gyaam	ज्ञां
deep	दीप
ghota	गोता
chhupha	छुपा
milee	मिली
gyaat	ज्ञात
saawariyaan	सावरियाँ
haahaakaar	हाहाकार
milen	मिले
rachirachi	रचिरचि
apke	आपके
dede	देदे
bartaav	बर्ताव
dedi	देदी
dedh	डेढ़
dedo	देदो
karvatein	करवटें
paaz	पाज़
agosh	आग़ोश
ghoum	घौं
ghoun	घौं
paar	पर
paas	पास
paap	पाप
paaq	पाक़
paav	पांव
paaw	पाँव
paat	पात
doobtaa	डूबता
paau	पाँव
Chinmaya	चिन्मय
doobegaa	डूबेगा
unindara	उनिन्दरा
baithein	बैठें
20056	20056
tihaaree	तिहारी
milay	मिला
naazneen	नाज़नीं
aarati	आरती
lijiye	लीजिए
vishvasaniyata	विश्वसनीयता
ganah	घाना
needh	नींद
tanhaiyoon	तन्हाईयों
kutiya	कुटिया
paai	पाई
paak	पाक
paam	पां
paal	पा
paao	पाओ
farzi	फ़र्ज़ी
paan	पां
paae	पाए
paad	पर
lanbaa	लंबा
paag	पाग
ghoon	घूं
ghoom	घूं
lipatke	लिपटके
tapakaaye	टपकाये
shivala	शिवाला
badnaamiyon	बदनामियों
nishigandhaa	निशिगंधा
dear	डियर
sharminda	शर्मिन्दा
duhaiyaa	दुहैया
bikne	बिकने
bharatiyon	भारतीय
nibhaoon	निभाऊँ
pasaare	पसारे
milaayaa	मिलाया
isharon	इशारों
khinchatii	खींचती
pasaari	पसारी
dungaa	दूँगा
baithegi	बैठेगी
aarazu	आरज़ू
taarifein	तारीफ़ें
milan	मिलन
milao	मिलाओ
gujarat	गुजरात
batalaayenge	बतलाएंगे
milai	मिलाई
tuutataa	टूटता
milak	मालिक
palanimannakam	पलानिमक्कम
milae	मिलाए
duniyaadaari	दुनियादारी
mandir	मंदिर
milaa	मिला
bhatija	भतीजा
mausammal	मौसम्मल
pulakit	पुलकित
prhalay	प्रलय
haaron	हारों
lipatii	लिपटी
berhampore	बेहरामपुर
chhupaa	छुपा
raavaan	रावां
khilaayi	खिलाई
uthhaane	उठाने
tupur	टुपुर
boliyon	बोलियों
uthhaana	उठाना
bajegi	बजेगी
bolana	बोलना
bajege	बजेंगे
nambar	नम्बर
khilaaye	खिलाए
bajega	बजेगा
khilaaya	खिलाया
bolane	बोलने
aushadhi	औषधि
battuur	बत्तूर
chhupat	छुपत
kaatenge	काटेंगे
pakki	पक्की
paarkinson	पार्किंसन**
ankhere	अन्धेरे
pakka	पक्का
duayen	दुआएँ
pakke	पक्के
chhupai	छुपाई
humakaa	हमका
sajanava	सजनवा
gyain	ज्ञैं
pakda	पकड़ा
gyaim	ज्ञैं
dukhaao	दुखाओ
kurvate	कुर्वते
milli	मिली
patjhad	पतझड़
pakdi	पकड़ी
mille	मिले
qataarein	क़तारें
pakde	पकड़े
aaromanchit	आरोमांचित
sadakon	सड़कों
dena	देना
millo	मीलों
chamaacham	चमाचम
bikat	बिकट
daadhi	दाड़ी
dene	देने
deni	देनी
bikam	बिकम
kankadon	कंकड़ों
neend	नेएंद
kholuungii	खोलूँगी
Companiyon	कम्पनियों
neena	नीना
jalaayein	जलाएँ
magal	मंगल
achchhaa	अच्छा
pakdo	पकड़ो
churaayenge	चुराएँगे
diljale	दिलजले
ziddi	ज़िद्दी
deko	देखो
Yah	यह
chamkaya	चमकाया
magan	मगन
apas	अपस
magar	मगर
diwaarein	दीवारें
chamkayi	चमकाई
ramaayenge	रमाएंगे
baajiya	बाजियाँ
lenaa	लेना
mahakaas	महकास
chuppayega	छुपाएगा
uthhaaya	उठाया
lena	लेना
neeli	नीली
dejo	देजो
poras	पोरस
sajanawa	सजनवा
milke	मिली
sambhaala	सम्भाला
neela	नीला
aaramb	आरंभ
sambhaale	सम्भाले
neele	नींद
bundiyaan	बुंदियाँ
idle	इड्ली
chhappar	छप्पड़
purush	पुरुष
sakaaraatmak	सकरात्मक
dekh	देख
idli	इडली
bhasha	भाषा
deke	देके
taqadire	तक़दीरें
rebart	रेवड़
kotavaali	कोतवाली
tehre	तेरे
daalenge	डालेंगे
tehra	ठहरा
dein	दें
panahon	पनाहो
kuppe	कुप्पे
lukana	लुकना
chhupaayega	छुपाएगा
shivati	शिवती
sarazamiin	सरज़मीं
sambhaalo	सम्भालो
chhupaayegi	छुपाएगी
vidyalay	विद्यालय
muniya	मुनिया
sambhaali	सम्भाली
nibhaogi	निभाओगी
hichakhole	हिचकोले
toofaano	तूफ़ानों
toofaann	तूफ़ान
aarasi	आरसी
pakad	पकड़
pakaa	पका
bajariyaa	बजरिया
puchcho	पूछो
dehu	देहु
fasal	फ़सल
badnami	बदनामी
anvar	अन्वर
tuutatii	टूटती
Yeh	यह
rupaiyyaa	रुपैय्या
milin	मिलीं
milii	मिली
takraar	तकरार
toofaani	तूफ़ानी
bainkon	बैंकों
tadapoge	तड़पोगे
idhu	इधु
ubhaara	उभारा
ubhaare	उभारे
miley	मिले
degi	देगी
pakar	पकड़
bhagidari	भागीदारी
yousuf	यूसुफ़
deha	देह
puchche	पूछे
parisiman	परिसीमन
jalaayega	जलायेगा
ichhaa	इच्छा
jalaayegi	जलाएगी
kedaa	केड़ा
gaurtalab	गौरतलब
qissaa	क़िस्सा
dega	देगा
adhooraa	अधूरा
duniyaavaalon	दुनियावालों
lootakar	लूटकर
sanbhaalein	संभालें
waaliyaan	वालियाँ
ghoda	घोड़ा
sautaniya	सौतनिया
ghode	घोड़े
ghodi	घोड़ी
12th	12वीं
kholuun	खोलूँ
paon	पाँव
najariya	नजरिया
jaladi	जलदी
devi	देवी
paravashta	परावस्था
vafaao	वफ़ाओ
par	पर
bhiksha	भिक्षा
pechon	पेचों
deve	देवे
rokhey	रोके
rogii	रोगी
vaishishtyon	वैशिष्टताओं
taharir	तहरीर
papa	पापा
husrat	हसरत
choree	चोरी
nimboodaa	निम्बूड़ा
pahachaanata	पहचानता
devo	देव
jaagoon	जागूँ
baniyaan	बनियान
pahachaanati	पहचानती
ganne	गन्ने
pahachaanate	पहचानते
deva	देव
ganna	गन्ना
bitegi	बीतेगी
fidaaa	फिदा
desh	देश
desi	देसी
fasle	फासलें
services	सर्विसेज
payamal	पयमल
hindustaanii	हिन्दुस्तानी
malamal	मालामाल
haaraa	हारा
hazaron	हजारों
fasla	फासला
mahabuuba	महबूबा
paro	पारो
dete	देते
park	पार्क**
behra	बेहरा
deti	देती
pari	पारी
tuhtiyaan	तुहतियाँ
itnaa	इतना
pare	परे
para	पर
jalaao	जलाओ
dhadkna	धड़कना
rajyason	राजस्व
jalaae	जलाए
parv	पर्व
begunaahee	बेगुनाही
imtihaan	इम्तहान
part	पार्ट
jalaal	जलाल
jalaai	जलाई
deta	देता
tuzako	तुझको
taajamahal	ताजमहल
madantusi	मदंतुसी
anaarakali	अनारकली
paka	पका
baadariya	बादरिया
pake	पाके
karatii	करती
avsaroh	अवसरों
avsaron	अवसरों
kanhaiya	कन्हैया
karatin	करतीं
girjon	गिर्जों
akadana	अकड़ना
sargoshiyaan	सरगोशियाँ
thamkar	थामकर
khilaaen	खिलाए
yadhyapi	यद्यपि
asire	असीरे
deri	देरी
pala	पल
behti	बहती
dere	डेरे
pale	पले
behte	बहते
kaljayi	कालजयी
dera	डेरा
pali	पली
mandala	मंडल
behta	बहता
vafaen	वफ़ाएं
saanwariyaan	साँवरिया
yateemon	यतीमों
palo	पलों
waadiyan	वाडिया
ganje	गंजे
sayaanaa	सयाना
ganja	गंजा
milaayuungi	मिलाऊँगी
paduungi	पड़ूँगी
seerat	सीरत
jamanaa	जमना
chailava	चैलवा
diljani	दिलजानी
ranjuur	रंजूर
waadiyaa	वादियाँ
ekek	एकएक
ghumsum	गुमसुम
bhatiye	भारतीय
apun	अपुन
sochataa	सोचता
chandamama	चंदामामा
jagamagao	जगमगाओ
paradesiyaa	परदेसिया
pana	पाना
fasil	फ़सिल
nyoutaa	न्यौता
nazaakat	नज़ाकत
panj	पंज
pani	पानी
tezi	तेजी
pane	पाने
porgi	पोर्गी
gabrati	घबराती
pahachaanane	पहचानने
jagamagaa	जगमगा
kawaara	कावारा
rahumat	रह्मत
pahachaanana	पहचानना
tadapoon	तड़पूँ
panv	पाँव
gholo	घोलो
ganga	गंगा
loriyoko	लोरियोको
test	टेस्ट**
pagh	पग
pasli	पसली
prstut	प्रस्तुत
Govind	गोविन्द
ulata	उलटा
paga	पग
praant	प्रांत
ghola	घोला
wafayen	वफ़ाएं
praarthanaa	प्रार्थना
ghole	घोले
duusarii	दूसरी
ulati	उलटी
gholi	घोली
kiijiye	कीजिये
ulate	उलटे
ghabaraataa	घबराता
swaadheen	स्वाधीन
praani	प्राणी
dhadkta	धड़कता
liptaye	लिपटाए
gheere	घेएरे
durupiyog	दुरुपयोग
jhadiyaan	झड़ियां
nibhaaiyaan	निभाइयाँ
bikri	बिक्री
milaayen	मिलाएं
pahe	पाहे
jalake	जलके
pajre	पचड़े
julfonwaale	जुल्फ़ोंवाले
natayan	नाटायन
antarrashtriya	अंतर्राष्ट्रीय
sochatee	सोचती
dhanush	धनुष
masarati	मसरती
pair	पैर
haarii	हारी
khilaata	खिलाता
phulan	फूलन
pain	पैं
paim	पैं
chehron	चेहरों
paig	पैग
melaa	मेला
khilaate	खिलाते
dulhaare	दुलारे
khilaati	खिलाती
qiimat	क़ीमत
lipatna	लिपटना
lipatne	लिपटने
behis	बेहिस
paigam	पैगाम
paji	पाजी
khilaaun	खिलाऊँ
rogon	रोगों
bikti	बिकती
bikte	बिकते
julamva	जुलम्वा
bikta	बिकता
sanvar	संवर
baajooon	बाजुओं
khilaane	खिलाने
behke	बहके
khilaana	खिलाना
behka	बहका
mithenge	मिटेंगे
baaliyan	बालियाँ
gabrana	घबराना
pade	पड़े
appa	अप्पा
padh	पद
padi	पड़ी
milaayin	मिलाईं
pado	पदों
behki	बहकी
anooti	अनूठी
rajmarga	राजमार्ग
behla	बहला
pashu	पशु
swargiya	स्वर्गीय
pada	पड़ा
akadate	अकड़ते
lipta	लिपटा
padosi	पड़ोसी
akadata	अकड़ता
lipte	लिपटे
lipti	लिपटी
akadati	अकड़ती
khayalon	ख्यालों
haaree	हारी
jalane	जाने
duhaai	दुहाई
haariye	हारिये
haaren	हारे
mulzim	मुल्ज़िम
pratispardha	प्रतिस्पर्धा
apna	अपना
baisaakh	बैसाख
apne	अपने
apni	अपने
majabuuri	मजबूरी
jalana	जलाना
zameen	जमीन
apno	अपनों
ganda	गंदा
teri	तेरी
puujuun	पूजूँ
behna	बहना
zameer	ज़मीर
behne	बहने
tero	तेरो
katiyaan	कटियाँ
hazarat	हज़रत
tera	तेरे
tere	तेरे
chugane	चुगने
sahakar	सहकर
bhulaaya	भुलाया
taraazu	तराज़ू
anwar	अनवर
bhulaaye	भुलाए
rjya	राज्य
bhulaayi	भुलाई
parosa	परोसा
raheti	रहती
palla	पल्ला
palle	पल्ले
mangun	मांगूं
solah	सोलह
phirega	फिरेगा
hansaa	हंसा
solaa	सोला
vattu	वट्टू
seenon	सीनों
seenoo	सीनों
foonkaa	फूँका
timirvaran	तिमिरवरण
pallu	पल्लू
raheta	रहता
kisan	किसन
daravaaja	दरवाजा
zamana	जमाना
sevadal	सेवादल
rahete	रहते
daravaaje	दरवाजे
laboko	लाबोको
caravan	कारवाँ
aajaao	आजाओ
dagamagaae	डगमगाए
zamane	ज़माने
zamano	ज़माने
indore	इंदौर
vishnu	विष्णु
badhottri	बढ़ोत्तरी
pitaake	पिताके
mado	मदों
rupayon	रुपयों
chugali	चुगली
nibhaataa	निभाता
pitaako	पिताको
chehrey	चेहरे
aajaae	आजाए
chuumte	चूम्ते
hanjuaan	हंजुआँ
ahamad	अहमद
lagayi	लगाइ
masiihaa	मसीहा
mael	मेल
phiregi	फिरेगी
behalaaya	बहलाया
winging	विंगिंग
behalaaye	बहलाए
phal	फल
palke	पलकें
jodake	जोड़के
khanakaaenge	खनकाएंगे
julfon	ज़ुल्फ़ों
chadhke	चढ़के
palko	पलकों
palki	पालकी
baatii	बाती
naasamajh	नासमझ
kahetaa	कहता
labonn	लबों
mehsus	महसूस
baandhon	बाँधों
hamasafar	हमसफ़र
nehru	नेहरु
zulam	जुलम
gajra	गजरा
spoken	स्पोकेन
ummeedon	उम्मीदों
jagadon	जगड़ों
akhian	अखियाँ
sahenge	सहेंगे
hansee	हँसी
saiyya	सैयाँ
giregi	गिरेगी
maje	मजे
ashk	अश्क
vaatavaran	वातावरण
pitaaji	पिताजी
mayusi	मायूसी
majhi	माझी
utaranaa	उतरना
tarasatii	तरसती
ashq	अश्क़
hansen	हँसें
baankaa	बाँका
tutaa	टूटा
ashe	आशे
tutak	टूटक
chikiririka	चिकिरिरिका
make	मके
dikhalaa	दिखला
asha	आशा
adhyaksh	अध्यक्ष
palna	पलना
mahi	माही
samosaa	समोसा
duniya	दुनिया
langar	लंगर
mangta	मंगता
asir	असीर
muskurayee	मुस्कुराई
duniye	दुनिया
vishva	विश्व
tadapaayegaa	तड़पाएगा
ghanere	घनेरे
pradyouke	cannot
ghaneri	घनेरी
praachaarya	प्राचार्य
chaahogee	चाहोगी
ashv	अश्व
girein	गिरें
pretending	प्रिटेंडिंग
chehraa	चेहरा
asia	एशिया
maha	महा
ashqbaar	अश्क़्बार
saamaajik	सामजिक
palne	पलने
daaroongi	डारूँगी
rahene	रहने
pher	फेर
lautegi	लौटेगी
mail	मेल
rahena	रहना
zalazale	ज़लज़ले
fareb	फ़रेब
gaharaayi	गहराई
pahaadon	पहाड़ों
maim	मैं
tarasaanaa	तरसाना
main	मैं
saamanaa	सामना
surgeon	सर्जन**
jaykaar	जयकार
palon	पलों
nigahabaan	निगहबान
lautega	लौटेगा
Sunderanand	सुन्दरानन्द
phulawaariyaan	फुलवारियाँ
chandrakiran	चन्द्रकिरन
zulmi	जुल्मी
mentality	मेंटेलिटी**
Kaaryakartha	कार्यकर्ता
pataana	पटाना
daalat	डालत
daalan	डालन
pataane	पटाने
nityabuddha	नित्यबुद्धा
pahachaante	पहचानते
palde	पलड़े
gajug	गजुग
sulaaungi	सुलाऊँगी
daalaa	डाला
chhalakaayenge	छलकायेंगे
report	रिपोर्ट
musalasal	मुसलसल
afsaanse	अफ़साने
asli	असली
sainyaam	सैंयाँ
pairuun	पैरूँ
palee	पली
ulaji	उलझी
sainyaan	सैंयाँ
bastii	बस्ती
ulajh	उलझ
prabal	प्रबल
vishwa	विश्व
sammelan	सम्मेलन
itihaason	इतिहासों
ghulaami	गुलामी
jhoolen	झूलें
ishara	इशारा
angiya	अंगिया
palav	पलव
ishare	इशारे
fursaten	फ़ुर्सतें
mangoo	माँगूँ
momin	मोमिन
dhyaavey	ध्यावे
puuchh	पूछ
palak	पलक
kuvaanriyaa	कुवाँरियाँ
chadhaa	चढ़ा
satyaanaas	सत्यानास
madrasi	मद्रासी
jogee	जोगी
baazuon	बाजुओं
puucho	पूचो
palat	पलट
chadhao	चढ़ाओ
nawab	नवाब
jaankaari	जानकारी
mangne	माँगने
kasegi	कसेगी
sanvre	साँवरे
manjira	मंजीरा
paagalapan	पागलपन
bujhaanaa	बुझाना
gajre	गजरे
mangni	मंगनी
pataaka	पताका
begane	बेगाने
gairat	ग़ैरत
dikhaunga	दिखाऊंगा
begana	बेगाना
fitrat	फ़ितरत
chadhoon	चाहूँ
loree	लोरी
dikhaungi	दिखाऊँगी
gardhish	गरदिश
begani	बेगानी
phir	फिर
maao	माँ
maan	मां
maam	मां
padai	पढाई
maat	मात
beqaraariyon	बेक़रारियों
maas	मास
maar	मार
padaa	पड़ा
aapase	आपसे
maay	माय
qismaat	क़िस्मात
Tal	टॉल
afsaanon	अफ़साने
rachaiyaa	रचैया
laharaaenge	लहराएंगे
manghi	माँगी
ghabaraayaa	घबराया
lillah	लिल्लाह
beato	बैठो
aapasa	आपसा
mach	मच
bhejuungaa	भेजूंगा
tarasataa	तरसता
lutatta	लुटता
nehla	नहला
pada	पढ़ा
prabhu	प्रभु
nehle	नहले
jhoolaa	झूला
bahekaave	बहकावे
paley	पले
jogan	जोगन
takuun	तकूँ
dohge	दोगे
udghatan	उद्घाटन
khabariya	खबरिया
baandhyo	बाँध्यो
jisaka	जिसका
baatee	बाती
jisake	जिसके
paharaave	पहरावे
jisaki	जिसकी
prabha	प्रभा
baaten	बातें
jisako	जिसको
zulfe	ज़ुल्फ़ें
totali	तोतली
upvijayata	उपविजेयता
lorii	लोरी
khwaahish	ख्वाहिश
seeney	सीने
maai	माई
majnu	मजनू
zulfo	ज़ुल्फ़ों
maal	माल
Shyam	श्याम
sadyasaya	सदस्य
maae	माए
maaf	मान
maah	माह
daadaraa	दादरा
chahiye	चाहिए
lalachaai	ललचाई
ghadri	घाद्री
tutum	तुतुम
gaamini	गामिनी
jhoolna	झूलना
vaayiz	वाइज़
lalachaae	ललचाए
bhaagyavati	भाग्यवती
beqraari	बेक़रारी
jhumakaa	झुमका
jisame	जिसमें
jaadoogarni	जादूगरनी
akhabaaron	अखबारों
chuumen	चूमें
bholaapan	भोलापन
kissi	किसी
jhoolon	झूलों
kisse	किसी
tutte	टूटे
varisht	वरिष्ठ
saasuujii	सासूजी
bujaao	बुझाओ
kissa	किस्सा
haskar	हँसकर
assi	अस्सी
haalath	हालात
Travancore	ट्रावणकोर
kisso	किस्सों
kamaal	कमाल
kamaan	कमान
vatan	वतन
kamaai	कमाई
maut	मौत
hansta	हँसता
nehaa	नेहा
japanaa	जपना
hanste	हंसते
likin	लेकिन
paidaa	पैदा
jaaeeyegaa	जाइयेगा
hansti	हँसती
akhiya	अखियाँ
mauj	मौज
paidal	पैदल
maun	मौन
basiyaa	बसिया
majra	मजरा
guzarein	गुज़रें
rehguzaaron	रहगुज़ारों
batoon	बातों
likho	लिखो
naveen	नवीन
matt	मत
prakaash	प्रकाश
likhi	लिखी
mati	माटी
faroz	फ़रोज़
likhe	लिखे
bhulaake	भुलाके
likha	लिखा
jisane	जाए
mata	मत
intzaar	इंतज़ार
dekhoonga	देखूँगा
sanasani	सनसनी
duubatii	डूबती
baatoon	बातों
kisne	किसने
takdeer	तकदीर
manayenge	मनायेंगे
karishmaa	करिश्मा
bajaayegaa	बजायेगा
navaraatri	नवरात्रि
guzaregi	गुज़रेगी
palaa	पला
dekhoongi	देखूंगी
bhulaane	भुलाने
bichhaaenge	बिछाएंगे
bhulaana	भुलाना
taqaraar	तक़रार
hawayen	हवाएं
beharuupiye	बहरूपिये
jisape	जिसपे
gooron	गौरों
pitaayi	पिटाई
likne	लिखने
kathinaai	कठिनाई
LokSabha	लोकसभा
cellulite	सेलुलाईट
maza	मज़ा
bolata	बोलता
guzareen	गुज़रीं
pehnayega	पहनाएगा
jagmag	जगमग
begaan	बेगाँ
angadaayiyaan	अंगड़ाइयाँ
maye	माई
bolati	बोलती
legaa	लेगा
bolate	बोलते
panchaayat	पंचायत
thaamen	थामें
tenis	टेनिस**
sharamaaen	शरमाएँ
unhonein	उन्होंने
dayavan	दयावान
lalache	ललचे
tutne	टूटनें
zindigi	ज़िंदगी
jisase	जिससे
mundere	मुंदरे
maya	माया
lalacha	ललचा
phul	फूल
kisme	किसमें
qurabaani	क़ुरबानी
mitade	मितादे
mitado	मिटादो
pooji	पूजी
sangrahaalay	संग्रहालय
kumud	कुमुद
pooje	पूजे
parchhaayiyaan	परच्छाइयाँ
reevaaj	रिवाज
pooja	पूजा
haalaki	हालाँकि
sanwar	संवार
chamkila	चमकीला
afsaanaa	अफ़साना
Sri	श्री
chamkile	चमकीले
baaton	बातों
baankee	बाँकी
laadala	लाडला
hansin	हंसीं
industry	इंडस्ट्री
shaareerik	शारीरिक
rahele	रहेले
rehethi	रहती
mani	मानी
mang	मांग
mand	मंद
aakhoon	आँखों
mane	माने
kisko	किसको
mana	माना
hansii	हंसी
duungaa	दूंगा
kiski	किसकी
kiske	किसी
kiska	कैसा
kundi	कुंडी
palaaNimaNakkam	पलानिमक्कम
daasataa	दास्तां
mano	मानो
saqlain	सकलैन
mann	मां
mama	मामा
bhatka	भटका
fhir	फिर
naadaaniyaan	नादानियाँ
mitaao	मिटाओ
mitaai	मिटाई
legee	लेगी
vyaayaamashaala	व्यायामशाला
mitaae	मिटाए
rahein	रहे
satyaanash	सत्यानश
mami	मामी
bhulaata	भुलाता
bhulaate	भुलाते
bhatke	भटके
mala	माला
beqraar	बेक़रार
male	मले
hanske	हँसके
kisie	किसी
sehlana	सहलाना
kisii	किसी
laadali	लाडली
chhilen	छिलें
betaabi	बेताबी
laadale	लाडले
laadalo	लाडलो
mali	मालिक
sajanaaa	सजना
mall	मॉल**
rahegi	रहेगी
makan	मकान
bharath	भारत
bharati	भारती
sinchaa	सींचा
hansni	हँसनी
baankii	बाँकी
behalaana	बहलाना
rahega	रहेगा
mask	मास्क**
hansne	हँसने
beach	बीच**
bhulaavi	भुलावी
hansna	हँसना
chainya	छैंया
bhulaave	भुलावे
mast	मस्त
saurseni	सौरसेनी
kisey	क्या
tenth	टेन्थ**
mare	मारे
sharafat	शराफ़त
mard	मर्द
buddham	बुद्धम
mara	मारा
chanchalaayen	चंचलायें
daakiya	डाकिया
sharamaayaa	शरमाया
Gandhinagar	गाँधीनगर
marm	मर्म
bhulaaun	भुलाऊँ
mat	मत
mari	मार
marg	मर्ग
marr	मार
ataa	अता
mazhab	मज़हब
maro	मरो
marz	मर्ज़
bolaya	बोलया
atak	अटक
bharat	भारत
dravankor	ट्रावणकोर
atal	अटल
kisda	किसदा
lalachaayenge	ललचाएंगे
yashomati	यशोमती
girakar	गिरकर
gholti	घोलती
machlega	मचलेगा
maataaon	माताओं
kahetey	कहते
taregaa	तरेगा
jaldii	जल्दी
baavraa	बावरा
pooch	पूछ
raheen	रहीं
kise	किसे
raheem	रहीम
chahiyee	चाहिये
hanson	हंसों
sahenaa	सहना
leharata	लहराता
kisee	किसी
phusur	फुसुर
savaariyaan	सवारियाँ
nishaniyan	निशानियाँ
pitaaon	पिताओं
mehrban	मेहरबां
chaupaal	चौपाल
special	स्पेशल**
dostaana	दोस्ताना
dogii	दोगी
jiyat	जियत
ghoomne	घूमने
chubhoti	चुभोती
baasha	बाशा
viiraanii	वीरानी
mitaya	मिटाया
mitaye	मिटाए
chandrasekhar	चंद्रशेखर
baashi	बाशी
battalian	बटालियन
firo	फिरो
masalaht	मसलह्त
hollywood	हॉलिवुड
chumati	चूमती
hadippaa	हड़िप्पा
aanand	आनंद
tagada	तगड़ा
tananana	तानानाना
navid	नवीद
saadi	साड़ी
arab	अरब
aajmaana	आजमाना
padun	पड़ूं
jhoomaa	झूमा
naariyon	नारियों
maich	मेंइच
saada	सादा
araj	अरज
saadh	साध
saade	सादे
dujeke	दूजे
duungii	दूँगी
mitawa	मितवा
mehumaan	मेहमान
dikhalaai	दिखलाई
padti	पड़ती
awagat	अवगत
doghe	दोगे
dikhalaao	दिखलाओ
bhulunga	भूलूंगा
padta	पड़ता
hukein	हूकें
rokane	रोकने
naachne	नाचने
padte	पड़ते
fire	फिरे
bichhaane	बिछाने
zaalamaa	ज़ालमा
jiyaa	जिया
baadaliya	बादलिया
sawariya	संवरिया
sharamaata	शरमाता
saadu	साधु
fiqr	फ़िक़्र
araz	अर्ज़
vikramane	विक्रमने
pachhtaaoge	पछताओगे
ehsaas	एहसास
sharamaate	शरमाते
sharamaati	शरमाती
baatenge	बाटेंगे
goonjte	गूंजते
daktaron	डाक्टरों
haalon	हालों
sahitya	साहित्य
vasta	वस्ता
kurbat	कुर्बत
saach	साँच
vistrit	विस्तृत
chalegaa	चलेगा
jeeyogi	जियोगी
bujhaaoge	बुझाओगे
nikharata	निखरता
bahalaati	बहलाती
ehsaan	एहसान
thaakre	ठाकरे
bahalaate	बहलाते
nikharati	निखरती
bahalaata	बहलाता
mitava	मितवा
kuuchaa	कूचा
masalane	मसलने
khillat	खिल्लत
gopinath	गोपीनाथ
jahannum	जहन्नुम
kitab	किताब
bichhaake	बिछाके
vahiin	वहीं
samasya	समस्या
registrar	रजिस्ट्रार**
mitati	मिटती
banakar	बनाकर
mitate	मिटाते

mitata	मिटता
arey	अरे
baansurii	बाँसुरी
addhyan	अध्ययन
mushkiloon	मुश्किलों
bahalaaye	बहलाए
vasha	वशा
poona	पूना
gathbandhan	गठबंधन
poone	पूने
madhuras	मधुरस
subahein	सुबहें
chumake	चुमके
vargiya	वर्जिय
hatuungaa	हटूँगा
shukar	शुक्र
judadi	जुदाई
ring	रिंग
services	सर्विसेज
bhulaade	भुलादे
mushqilen	मुश्क़िलें
jaayunga	जाऊंगा
bichhaati	बिछाती
bujhaayegaa	बुझायेगा
tagali	तगाली
Sundaranand	सुन्दरानन्द
loving	लविंग
